MatchNumber,RoundNumber,DateUtc,Location,HomeTeam,AwayTeam,Group,HomeTeamScore,AwayTeamScore
1,1,2018-06-14 15:00:00Z,"Luzhniki Stadium, Moscow",Russia,Saudi Arabia,Group A,5,0
2,1,2018-06-15 12:00:00Z,Ekaterinburg Stadium,Egypt,Uruguay,Group A,0,1
3,1,2018-06-15 15:00:00Z,Saint Petersburg Stadium,Morocco,Iran,Group B,0,1
4,1,2018-06-15 18:00:00Z,"Fisht Stadium, Sochi",Portugal,Spain,Group B,3,3
5,1,2018-06-16 10:00:00Z,Kazan Arena,France,Australia,Group C,2,1
6,1,2018-06-16 13:00:00Z,"Otkrytiye Arena, Moscow",Argentina,Iceland,Group D,1,1
7,1,2018-06-16 16:00:00Z,Saransk Stadium,Peru,Denmark,Group C,0,1
8,1,2018-06-16 19:00:00Z,Kaliningrad Stadium,Croatia,Nigeria,Group D,2,0
9,1,2018-06-17 12:00:00Z,Samara Stadium,Costa Rica,Serbia,Group E,0,1
10,1,2018-06-17 15:00:00Z,"Luzhniki Stadium, Moscow",Germany,Mexico,Group F,0,1
11,1,2018-06-17 18:00:00Z,Rostov-on-Don Stadium,Brazil,Switzerland,Group E,1,1
12,1,2018-06-18 12:00:00Z,Nizhny Novgorod Stadium,Sweden,Korea Republic,Group F,1,0
13,1,2018-06-18 15:00:00Z,"Fisht Stadium, Sochi",Belgium,Panama,Group G,3,0
14,1,2018-06-18 18:00:00Z,Volgograd Stadium,Tunisia,England,Group G,1,2
15,1,2018-06-19 12:00:00Z,Saransk Stadium,Colombia,Japan,Group H,1,2
16,1,2018-06-19 15:00:00Z,"Otkrytiye Arena, Moscow",Poland,Senegal,Group H,1,2
17,2,2018-06-19 18:00:00Z,Saint Petersburg Stadium,Russia,Egypt,Group A,3,1
18,2,2018-06-20 12:00:00Z,"Luzhniki Stadium, Moscow",Portugal,Morocco,Group B,1,0
19,2,2018-06-20 15:00:00Z,Rostov-on-Don Stadium,Uruguay,Saudi Arabia,Group A,1,0
20,2,2018-06-20 18:00:00Z,Kazan Arena,Iran,Spain,Group B,0,1
21,2,2018-06-21 12:00:00Z,Samara Stadium,Denmark,Australia,Group C,1,1
22,2,2018-06-21 15:00:00Z,Ekaterinburg Stadium,France,Peru,Group C,1,0
23,2,2018-06-21 18:00:00Z,Nizhny Novgorod Stadium,Argentina,Croatia,Group D,0,3
24,2,2018-06-22 12:00:00Z,Saint Petersburg Stadium,Brazil,Costa Rica,Group E,2,0
25,2,2018-06-22 15:00:00Z,Volgograd Stadium,Nigeria,Iceland,Group D,2,0
26,2,2018-06-22 18:00:00Z,Kaliningrad Stadium,Serbia,Switzerland,Group E,1,2
27,2,2018-06-23 12:00:00Z,"Otkrytiye Arena, Moscow",Belgium,Tunisia,Group G,5,2
28,2,2018-06-23 15:00:00Z,Rostov-on-Don Stadium,Korea Republic,Mexico,Group F,1,2
29,2,2018-06-23 18:00:00Z,"Fisht Stadium, Sochi",Germany,Sweden,Group F,2,1
30,2,2018-06-24 12:00:00Z,Nizhny Novgorod Stadium,England,Panama,Group G,6,1
31,2,2018-06-24 15:00:00Z,Ekaterinburg Stadium,Japan,Senegal,Group H,2,2
32,2,2018-06-24 18:00:00Z,Kazan Arena,Poland,Colombia,Group H,0,3
33,3,2018-06-25 14:00:00Z,Samara Stadium,Uruguay,Russia,Group A,3,0
34,3,2018-06-25 14:00:00Z,Volgograd Stadium,Saudi Arabia,Egypt,Group A,2,1
35,3,2018-06-25 18:00:00Z,Saransk Stadium,Iran,Portugal,Group B,1,1
36,3,2018-06-25 18:00:00Z,Kaliningrad Stadium,Spain,Morocco,Group B,2,2
37,3,2018-06-26 14:00:00Z,"Luzhniki Stadium, Moscow",Denmark,France,Group C,0,0
38,3,2018-06-26 14:00:00Z,"Fisht Stadium, Sochi",Australia,Peru,Group C,0,2
39,3,2018-06-26 18:00:00Z,Saint Petersburg Stadium,Nigeria,Argentina,Group D,1,2
40,3,2018-06-26 18:00:00Z,Rostov-on-Don Stadium,Iceland,Croatia,Group D,1,2
41,3,2018-06-27 14:00:00Z,Ekaterinburg Stadium,Mexico,Sweden,Group F,0,3
42,3,2018-06-27 14:00:00Z,Kazan Arena,Korea Republic,Germany,Group F,2,0
43,3,2018-06-27 18:00:00Z,"Otkrytiye Arena, Moscow",Serbia,Brazil,Group E,0,2
44,3,2018-06-27 18:00:00Z,Nizhny Novgorod Stadium,Switzerland,Costa Rica,Group E,2,2
45,3,2018-06-28 14:00:00Z,Volgograd Stadium,Japan,Poland,Group H,0,1
46,3,2018-06-28 14:00:00Z,Samara Stadium,Senegal,Colombia,Group H,0,1
47,3,2018-06-28 18:00:00Z,Saransk Stadium,Panama,Tunisia,Group G,1,2
48,3,2018-06-28 18:00:00Z,Kaliningrad Stadium,England,Belgium,Group G,0,1
50,4,2018-06-30 14:00:00Z,Kazan Arena,France,Argentina,,4,3
49,4,2018-06-30 18:00:00Z,"Fisht Stadium, Sochi",Uruguay,Portugal,,2,1
51,4,2018-07-01 14:00:00Z,"Luzhniki Stadium, Moscow",Spain,Russia,,1,1
52,4,2018-07-01 18:00:00Z,Nizhny Novgorod Stadium,Croatia,Denmark,,1,1
53,4,2018-07-02 14:00:00Z,Samara Stadium,Brazil,Mexico,,2,0
54,4,2018-07-02 18:00:00Z,Rostov-on-Don Stadium,Belgium,Japan,,3,2
55,4,2018-07-03 14:00:00Z,Saint Petersburg Stadium,Sweden,Switzerland,,1,0
56,4,2018-07-03 18:00:00Z,"Otkrytiye Arena, Moscow",Colombia,England,,1,1
57,5,2018-07-06 14:00:00Z,Nizhny Novgorod Stadium,Uruguay,France,,0,2
58,5,2018-07-06 18:00:00Z,Kazan Arena,Brazil,Belgium,,1,2
59,5,2018-07-07 14:00:00Z,Samara Stadium,Sweden,England,,0,2
60,5,2018-07-07 18:00:00Z,"Fisht Stadium, Sochi",Russia,Croatia,,2,2
61,6,2018-07-10 18:00:00Z,Saint Petersburg Stadium,France,Belgium,,1,0
62,6,2018-07-11 18:00:00Z,"Luzhniki Stadium, Moscow",England,Croatia,,1,2
63,7,2018-07-14 14:00:00Z,Saint Petersburg Stadium,Belgium,England,,2,0
64,7,2018-07-15 15:00:00Z,"Luzhniki Stadium, Moscow",France,Croatia,,4,2
